accession	protein	descr	UF-a	UF-b	UF-c	YEL-a	YEL-b	YEL-c	cluster_number
gi|659916762|emb|CDP49845.1|	b36.a1.a1	gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]	0.981869521752413	-1.77293870830152	-0.0896420369838816	-0.307905339492966	0.798482862481225	0.390133700544727	2
gi|659916763|emb|CDP49846.1|	b60.a1.a1	gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]	1.24173927074651	-1.51698606429819	0.115031672387838	-0.813196990570216	0.421323858554065	0.552088253180003	3
gi|659916788|emb|CDP49839.1|	c190.a1.a1	gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]	0.650897875542359	1.08679109252624	0.96939307657859	-0.910336908997111	-0.818892033170229	-0.977853102479851	1
gi|659916818|emb|CDP49799.1|	c306.a1.a1	gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]	1.36952346860206	0.25428606611699	0.792219263387187	-0.284593751013144	-1.26525626808142	-0.866178779011669	4
gi|659916820|emb|CDP49789.1|	b72.a1.a1	gi|659916820|emb|CDP49789.1| Serine/threonine protein kinase [Propionibacterium freudenreichii subsp. freudenreichii]	1.30757330317937	0.14475022141735	0.34174454654569	0.413418200579915	-1.62580523304239	-0.581681038679917	4
gi|659916821|emb|CDP49790.1|	c226.a1.a1	gi|659916821|emb|CDP49790.1| Penicillin-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]	0.63214244064074	0.845930785464023	-0.098589915935401	1.00995152879642	-1.18101424337366	-1.2084205955921	1
gi|659916822|emb|CDP49791.1|	c369.a1.a1	gi|659916822|emb|CDP49791.1| Cell division protein [Propionibacterium freudenreichii subsp. freudenreichii]	1.5651539050607	0.186889566040468	0.569734756235207	-0.440113639790641	-1.27753470330868	-0.604129884237067	4
gi|659916823|emb|CDP49792.1|	c326.a1.a1	gi|659916823|emb|CDP49792.1| Hypothetical protein PFCIRM129_02105 [Propionibacterium freudenreichii subsp. freudenreichii]	1.16231809040855	0.575050618940167	0.722166777706324	-0.146280073393239	-1.38005042641538	-0.933204987246432	1
gi|659916824|emb|CDP49793.1|	c323.a1.a1	gi|659916824|emb|CDP49793.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]	-0.20376681212383	-1.04266162359173	-1.26715129547209	1.16176324896266	0.642250612694175	0.709565869530824	2
gi|659916825|emb|CDP49794.1|	c264.a1.a1	gi|659916825|emb|CDP49794.1| Forkhead-associated protein [Propionibacterium freudenreichii subsp. freudenreichii]	1.62312929057901	-0.529129566850287	-0.141189906556604	0.750126533440727	-1.01403000130617	-0.688906349306676	4
gi|659916834|emb|CDP49778.1|	c149.a1.a1	gi|659916834|emb|CDP49778.1| Uracil phosphoribosyltransferase (UMP pyrophosphorylase) (UPRTase) [Propionibacterium freudenreichii subsp. freudenreichii]	-1.27346353323225	-0.108467722379229	-0.724826663392407	-0.225273162862968	0.977310467522406	1.35472061434444	5
gi|659916838|emb|CDP49782.1|	c316.a1.a1	gi|659916838|emb|CDP49782.1| Hypothetical protein PFCIRM129_02050 [Propionibacterium freudenreichii subsp. freudenreichii]	0.873144734670114	0.49895854857928	0.821371281137124	-0.0741281664423534	-1.78861019739551	-0.330736200548644	1
gi|659916840|emb|CDP49784.1|	c320.a1.a1	gi|659916840|emb|CDP49784.1| Hypothetical protein PFCIRM129_02060 [Propionibacterium freudenreichii subsp. freudenreichii]	0.219047690403002	0.0740819247664393	-1.42908264974797	1.66118463595726	-0.204373867095727	-0.320857734282987	6
gi|659916842|emb|CDP49786.1|	c128.a1.a1	gi|659916842|emb|CDP49786.1| Ferrous iron uptake protein B 9.A.8.1.x [Propionibacterium freudenreichii subsp. freudenreichii]	1.3828709345037	0.173373280549316	0.821415881274293	-1.32372891426023	-0.720926833774937	-0.333004348292145	3
gi|659916844|emb|CDP49788.1|	c108.a1.a1	gi|659916844|emb|CDP49788.1| Galactokinase [Propionibacterium freudenreichii subsp. freudenreichii]	-0.00626980677488537	-1.24353927976829	-1.19546271062241	0.714326929474228	0.955170892701071	0.775773974990291	2
gi|659916853|emb|CDP49718.1|	c168.a1.a1	gi|659916853|emb|CDP49718.1| carboxypeptidase (serine-type D-Ala-D-Ala carboxypeptidase) (D-alanyl-D-alanine-carboxypeptidase) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.976943141978365	-0.718622558393388	-1.00391564302159	0.659551320254753	1.07312469509553	0.966805328043072	6
gi|659916856|emb|CDP49721.1|	c445.a1.a1	gi|659916856|emb|CDP49721.1| hypoxanthine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]	0.222549222974467	1.9083807931623	-0.291457960092603	-0.826061255351688	-0.624452854815642	-0.388957945876839	1
gi|659916880|emb|CDP49745.1|	c179.a1.a1	gi|659916880|emb|CDP49745.1| Aspartate-semialdehyde dehydrogenase (Semialdehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]	-1.33764693575169	0.264308086923946	-0.410778101643069	1.64991544830707	0.260712235295185	-0.426510733131443	6
gi|659916895|emb|CDP49760.1|	c169.a1.a1	gi|659916895|emb|CDP49760.1| binding protein of phosphate ABC transporter (BP:MOI:undef:phosphate) [Propionibacterium freudenreichii subsp. freudenreichii]	1.32604582930742	0.108393650972009	0.423995122686107	-0.196572769979548	-1.73385621270485	0.0719943797188621	4
gi|659916902|emb|CDP49767.1|	b73.a1.a1	gi|659916902|emb|CDP49767.1| inositol-1-phosphate synthase [Propionibacterium freudenreichii subsp. freudenreichii]	0.908461261421911	-1.68461801757346	-0.475723414313171	0.819113363186174	0.632230279271149	-0.199463471992615	2
gi|659916913|emb|CDP49708.1|	c350.a1.a1	gi|659916913|emb|CDP49708.1| D-serine/D-alanine/glycine transporter [Propionibacterium freudenreichii subsp. freudenreichii]	0.376757244273528	-1.6202997936958	-0.717624702696492	0.238606337805556	1.15890127910609	0.563659635207136	2
gi|659916915|emb|CDP49710.1|	c182.a1.a1	gi|659916915|emb|CDP49710.1| flavin-containing amine oxidase [Propionibacterium freudenreichii subsp. freudenreichii]	-1.49954518243855	0.639969916274613	-0.349003087459354	-0.216582178906207	1.47335305924338	-0.0481925267138601	5
gi|659916937|emb|CDP49676.1|	c504.a1.a1	gi|659916937|emb|CDP49676.1| Hypothetical protein PFCIRM129_01490 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.226771101893993	1.67095585358907	0.366558963615016	-0.328632745198378	-0.102388911710916	-1.3797220584008	1
gi|659916945|emb|CDP49684.1|	b94.a1.a1	gi|659916945|emb|CDP49684.1| ABC-type transport systems, periplasmic component [Propionibacterium freudenreichii subsp. freudenreichii]	1.14019512181724	0.188555163863893	0.665930150892233	-1.77429844199439	-0.265947209791669	0.0455652152127158	3
gi|659916946|emb|CDP49685.1|	c171.a1.a1	gi|659916946|emb|CDP49685.1| Methionine import ATP-binding protein metN [Propionibacterium freudenreichii subsp. freudenreichii]	1.16810387601132	-0.486087733426862	0.779592047260325	-1.49945228831316	-0.501853832160923	0.5396979306293	3
gi|659916956|emb|CDP49649.1|	c276.a1.a1	gi|659916956|emb|CDP49649.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]	0.632865502058117	1.09213444955744	0.816757136907649	-1.40777201613493	-0.327359214124062	-0.806625858264217	1
gi|659916960|emb|CDP49653.1|	c360.a1.a1	gi|659916960|emb|CDP49653.1| Permease for cytosine/purines, uracil, thiamine,allantoin [Propionibacterium freudenreichii subsp. freudenreichii]	1.69153275672346	-1.0181440994818	0.321580982405326	0.250192939581283	-0.906195257892887	-0.338967321335379	4
gi|659916973|emb|CDP49666.1|	b26.a1.a1	gi|659916973|emb|CDP49666.1| Coenzyme A transferase (Putative succinyl-CoA or butyryl-CoA:coenzyme A transferase) [Propionibacterium freudenreichii subsp. freudenreichii]	0.247653400618118	-1.4520806622042	-0.739095345650096	-0.167663099832441	1.17222079560313	0.938964911465485	2
gi|659916978|emb|CDP49671.1|	c282.a1.a1	gi|659916978|emb|CDP49671.1| Putative aldo/keto reductase (oxidoreductase) [Propionibacterium freudenreichii subsp. freudenreichii]	1.52349379763248	-0.682118935487295	0.0573027483658446	-1.22712697174015	-0.406133410954548	0.734582772183679	3
gi|659916980|emb|CDP49673.1|	c288.a1.a1	gi|659916980|emb|CDP49673.1| rRNA (guanine-N2-)-methyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]	0.5373908599775	1.2508376443817	0.876205276122959	-0.914202745709552	-0.799420182982323	-0.950810851790294	1
gi|659917009|emb|CDP49613.1|	c318.a1.a1	gi|659917009|emb|CDP49613.1| NADPH:quinone reductase and related Zn-dependent oxidoreductases [Propionibacterium freudenreichii subsp. freudenreichii]	0.928597182342706	0.866715799402538	0.932186294363218	-0.833319455675409	-1.06783716140167	-0.826342659031378	1
gi|659917010|emb|CDP49614.1|	b17.a1.a1	gi|659917010|emb|CDP49614.1| Argininosuccinate synthase [Propionibacterium freudenreichii subsp. freudenreichii]	0.488373546677722	1.20003058765116	0.926843331253343	-1.16689088434337	-0.563124607417801	-0.885231973821055	1
gi|659917011|emb|CDP49615.1|	c124.a1.a1	gi|659917011|emb|CDP49615.1| Cell envelope-related function transcriptional attenuator common domain [Propionibacterium freudenreichii subsp. freudenreichii]	-1.15055805633717	0.651497561213198	-0.610916220466318	1.54521768556388	0.227426372967976	-0.662667342941586	6
gi|659917024|emb|CDP49591.1|	c358.a1.a1	gi|659917024|emb|CDP49591.1| Cytochrome d ubiquinol oxidase, subunit II [Propionibacterium freudenreichii subsp. freudenreichii]	0.730700483217162	-1.78820086262003	-0.491415813690276	0.133572892541991	0.76884733979678	0.646495960754364	2
gi|659917025|emb|CDP49592.1|	b86.a1.a1	gi|659917025|emb|CDP49592.1| Cytochrome d ubiquinol oxidase subunit I [Propionibacterium freudenreichii subsp. freudenreichii]	1.66324110327137	-1.45867255288402	-0.175941138968002	0.0362625276198889	-0.221558438720569	0.156668499681384	3
