"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"gmt_KEGG","Metabolic pathways","ko01100","9.234567450925866e-9","8.034583442191854","522","300","113","2279","659916785,659916805,659916830,659916838,659916852,659916854,659916884,659916886,659916898,659916946,659916957,659916987,659917063,659917111,659917113,659917125,659917135,659917149,659917164,659917179,659917213,659917227,659917232,659917242,659917247,659917248,659917255,659917271,659917288,659917295,659917305,659917310,659917311,659917315,659917316,659917317,659917341,659917347,659917350,659917367,659917373,659917401,659917425,659917439,659917470,659917480,659917488,659917494,659917500,659917508,659917524,659917595,659917600,659917646,659917752,659917774,659917775,659917802,659917815,659917835,659917877,659917884,659917889,659917891,659917925,659917931,659917959,659917994,659918044,659918049,659918097,659918119,659918125,659918130,659918162,659918171,659918192,659918193,659918197,659918273,659918304,659918318,659918420,659918434,659918502,659918556,659918586,659918600,659918608,659918636,659918644,659918687,659918690,659918696,659918724,659918726,659918736,659918739,659918778,659918796,659918866,659918869,659918871,659918876,659918897,659918901,659918910,659918917,659918920,659918984,659918996,659919064,659919111"
"gmt_KEGG","Biosynthesis of secondary metabolites","ko01110","0.000041379884018498884","4.383210730929746","282","300","64","2279","659916785,659916830,659916852,659916854,659916987,659917063,659917111,659917113,659917125,659917135,659917213,659917227,659917232,659917242,659917255,659917271,659917288,659917295,659917315,659917341,659917347,659917367,659917401,659917439,659917470,659917488,659917494,659917500,659917508,659917513,659917524,659917595,659917600,659917646,659917752,659917775,659917835,659917877,659917884,659917891,659917925,659917959,659918130,659918162,659918171,659918197,659918273,659918420,659918434,659918502,659918556,659918687,659918690,659918696,659918726,659918736,659918749,659918866,659918897,659918901,659918917,659918984,659919064,659919111"
"gmt_KEGG","Microbial metabolism in diverse environments","ko01120","0.0013227431744146211","2.8785244708253623","178","300","42","2279","659916785,659916830,659916852,659916854,659916987,659917063,659917111,659917113,659917125,659917135,659917149,659917227,659917232,659917242,659917248,659917288,659917295,659917305,659917311,659917317,659917350,659917373,659917401,659917470,659917480,659917494,659917508,659917524,659917646,659917775,659917835,659917877,659917884,659918171,659918420,659918690,659918696,659918724,659918736,659918901,659918917,659918986"
"gmt_KEGG","Carbon metabolism","ko01200","0.00618329841615756","2.208779793228907","104","300","27","2279","659916785,659916852,659916854,659916987,659917063,659917111,659917113,659917125,659917149,659917227,659917242,659917311,659917373,659917401,659917439,659917470,659917508,659917524,659917646,659917877,659917884,659918171,659918420,659918690,659918696,659918724,659918901"
"gmt_KEGG","Methane metabolism","ko00680","0.012147250139761406","1.9155220252996445","24","300","10","2279","659916852,659916854,659917111,659917113,659917125,659917470,659917835,659918690,659918724,659918901"
"gmt_KEGG","Glycolysis / Gluconeogenesis","ko00010","0.01282784958885515","1.8918461409725642","37","300","13","2279","659916785,659917111,659917113,659917125,659917135,659917227,659917232,659917242,659917470,659917494,659917877,659918696,659918901"
"gmt_KEGG","Biosynthesis of amino acids","ko01230","0.01588580483862688","1.7989907771780453","121","300","29","2279","659916852,659916987,659917111,659917113,659917125,659917227,659917242,659917288,659917315,659917373,659917401,659917439,659917508,659917524,659917646,659917752,659917877,659918171,659918273,659918420,659918434,659918502,659918687,659918690,659918726,659918736,659918897,659918917,659919111"
"gmt_KEGG","Purine metabolism","ko00230","0.01999316136566127","1.6991185287879298","68","300","19","2279","659916805,659917135,659917295,659917310,659917347,659917367,659917524,659917646,659917775,659918162,659918193,659918197,659918235,659918318,659918556,659918644,659918659,659918697,659918739"
"gmt_KEGG","Pentose phosphate pathway","ko00030","0.04994689786288905","1.3014914800679533","28","300","10","2279","659916785,659916987,659917111,659917113,659917135,659917232,659917524,659917646,659917884,659918696"
"gmt_KEGG","Lipoic acid metabolism","ko00785","0.057102148044054474","1.2433475543437646","3","300","3","2279","659918097,659918119,659918876"
