"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"gmt_KEGG","Citrate cycle (TCA cycle)","ko00020","0.0000011789185638306972","5.928516193633037","28","304","16","2279","659917039,659917060,659917229,659917458,659917492,659917557,659917597,659917722,659917724,659917992,659918335,659918413,659918701,659918797,659918799,659918913"
"gmt_KEGG","Ribosome","ko03010","0.000031033840007558214","4.508164483168276","53","304","21","2279","659916788,659916973,659917783,659917784,659917790,659917860,659917939,659917940,659918002,659918008,659918018,659918024,659918046,659918052,659918073,659918109,659918118,659918128,659918654,659918812,659919143"
"gmt_KEGG","Carbon metabolism","ko01200","0.00004234235890179587","4.37322495100493","104","304","32","2279","659916840,659916844,659917035,659917039,659917060,659917204,659917229,659917235,659917458,659917492,659917557,659917597,659917722,659917724,659917797,659917888,659917928,659917992,659918335,659918413,659918492,659918701,659918797,659918799,659918851,659918899,659918913,659918925,659918936,659919054,659919103,659919151"
"gmt_KEGG","Microbial metabolism in diverse environments","ko01120","0.0008047267323641299","3.0943515715257917","178","304","43","2279","659916834,659916840,659916844,659916853,659917035,659917039,659917060,659917204,659917229,659917235,659917458,659917468,659917492,659917557,659917597,659917647,659917722,659917724,659917797,659917888,659917928,659917936,659917992,659918186,659918188,659918335,659918413,659918414,659918492,659918701,659918797,659918799,659918860,659918899,659918913,659918925,659918932,659918936,659919054,659919057,659919058,659919103,659919151"
"gmt_KEGG","Biosynthesis of secondary metabolites","ko01110","0.0013153968849614651","2.880943190943882","282","304","60","2279","659916822,659916834,659916840,659916844,659916945,659916956,659917025,659917035,659917039,659917060,659917086,659917150,659917204,659917229,659917235,659917302,659917307,659917386,659917415,659917458,659917468,659917492,659917557,659917597,659917722,659917724,659917797,659917966,659917992,659918105,659918167,659918176,659918198,659918199,659918222,659918317,659918323,659918335,659918413,659918414,659918492,659918588,659918688,659918692,659918701,659918797,659918799,659918841,659918860,659918887,659918913,659918925,659918931,659918932,659919054,659919103,659919133,659919141,659919142,659919151"
"gmt_KEGG","Pyruvate metabolism","ko00620","0.0016664680398124877","2.778203010996056","39","304","15","2279","659916844,659917039,659917060,659917204,659917229,659917492,659917597,659917722,659917724,659917888,659917928,659917992,659918701,659918913,659919058"
"gmt_KEGG","Metabolic pathways","ko01100","0.0028908139567218214","2.5389798571944358","522","304","96","2279","659916822,659916834,659916840,659916844,659916853,659916945,659916956,659917025,659917035,659917039,659917047,659917053,659917060,659917086,659917120,659917150,659917204,659917212,659917229,659917235,659917240,659917302,659917307,659917343,659917370,659917374,659917376,659917378,659917382,659917414,659917415,659917458,659917468,659917472,659917492,659917504,659917517,659917556,659917557,659917597,659917647,659917722,659917724,659917797,659917805,659917888,659917928,659917936,659917941,659917966,659917992,659918012,659918015,659918167,659918176,659918188,659918230,659918258,659918267,659918299,659918317,659918323,659918335,659918413,659918414,659918492,659918588,659918637,659918653,659918679,659918688,659918692,659918701,659918730,659918797,659918799,659918841,659918851,659918860,659918887,659918899,659918912,659918913,659918925,659918927,659918931,659918932,659918936,659919024,659919054,659919057,659919103,659919133,659919141,659919142,659919151"
"gmt_KEGG","Oxidative phosphorylation","ko00190","0.005046226917548721","2.2970332241269147","38","304","14","2279","659917053,659917370,659917374,659917376,659917378,659917382,659917458,659917472,659917557,659918621,659918679,659918701,659918797,659918799"
"gmt_KEGG","Protein export","ko03060","0.011277546104388319","1.9477853887622394","16","304","8","2279","659916980,659917133,659917191,659917193,659917997,659918698,659918769,659918774"
"gmt_KEGG","Peptidoglycan biosynthesis","ko00550","0.020294981236016852","1.6926113458789998","21","304","9","2279","659917212,659917343,659917414,659917504,659918274,659918293,659918730,659919042,659919150"
"gmt_KEGG","Butanoate metabolism","ko00650","0.020294981236016852","1.6926113458789998","21","304","9","2279","659917060,659917229,659917458,659917557,659917928,659918701,659918797,659918799,659918913"
"gmt_KEGG","Quorum sensing","ko02024","0.03605741887015195","1.4430053649838561","45","304","14","2279","659916980,659917133,659917191,659917193,659917486,659917577,659917856,659917861,659917997,659918698,659918769,659918774,659918867,659918934"
"gmt_KEGG","Propanoate metabolism","ko00640","0.040240192879742356","1.3953399462819744","27","304","10","2279","659916853,659917204,659917492,659917888,659917928,659918851,659918899,659918913,659918936,659919054"
"gmt_KEGG","Glycolysis / Gluconeogenesis","ko00010","0.05292092353125539","1.2763725854779537","37","304","12","2279","659916844,659917035,659917039,659917060,659917229,659917235,659917492,659917722,659917724,659917992,659918492,659919151"
"gmt_KEGG","Bacterial secretion system","ko03070","0.06906265175538714","1.160756750333187","16","304","7","2279","659916980,659917133,659917191,659917193,659917997,659918769,659918774"
"gmt_KEGG","Pyrimidine metabolism","ko00240","0.16969779978757638","0.7703237884796671","42","304","12","2279","659917047,659917120,659917240,659917941,659918012,659918015,659918230,659918299,659918719,659918899,659918912,659919024"
"gmt_KEGG","RNA polymerase","ko03020","0.2141220771759389","0.6693385522226963","4","304","3","2279","659917941,659918012,659918015"
"gmt_KEGG","ABC transporters","ko02010","0.28441144696513504","0.5460529281470953","72","304","17","2279","659916818,659916842,659917010,659917036,659917264,659917475,659917486,659917505,659917511,659917660,659917831,659918307,659918419,659918500,659918622,659918932,659918938"
"gmt_KEGG","beta-Lactam resistance","ko01501","0.48258155033543465","0.3164292857025689","5","304","3","2279","659917343,659917414,659918730"
"gmt_KEGG","Valine, leucine and isoleucine degradation","ko00280","0.8046671015653843","0.09438375423497382","19","304","6","2279","659917204,659917492,659918851,659918899,659918936,659919054"
"gmt_KEGG","RNA degradation","ko03018","0.8046671015653843","0.09438375423497382","19","304","6","2279","659916820,659916937,659917235,659918369,659918719,659918848"
"gmt_KEGG","Phenylalanine metabolism","ko00360","0.8525291737832535","0.06929075040432671","10","304","4","2279","659916853,659916956,659918931,659919141"
"gmt_KEGG","Monobactam biosynthesis","ko00261","0.8707892171074118","0.06008695742118691","6","304","3","2279","659916834,659917468,659918414"
"gmt_KEGG","Folate biosynthesis","ko00790","1","0","18","304","1","2279","659917805"
"gmt_KEGG","Terpenoid backbone biosynthesis","ko00900","1","0","13","304","3","2279","659917386,659918167,659918323"
"gmt_KEGG","Nitrogen metabolism","ko00910","1","0","13","304","2","2279","659917936,659918186"
"gmt_KEGG","Biotin metabolism","ko00780","1","0","4","304","1","2279","659918841"
"gmt_KEGG","Pantothenate and CoA biosynthesis","ko00770","1","0","19","304","3","2279","659917556,659918317,659918688"
"gmt_KEGG","Porphyrin and chlorophyll metabolism","ko00860","1","0","37","304","4","2279","659918860,659918927,659918931,659918932"
"gmt_KEGG","Sulfur metabolism","ko00920","1","0","20","304","3","2279","659916840,659917797,659918622"
"gmt_KEGG","Unknown","?","1","0","1417","304","129","2279","659916762,659916763,659916821,659916824,659916825,659916856,659916880,659916895,659916902,659916913,659916960,659917009,659917011,659917054,659917078,659917082,659917091,659917123,659917127,659917162,659917186,659917202,659917216,659917238,659917259,659917266,659917270,659917283,659917284,659917285,659917290,659917299,659917301,659917322,659917331,659917338,659917354,659917360,659917366,659917384,659917396,659917406,659917409,659917426,659917473,659917474,659917526,659917538,659917539,659917558,659917591,659917603,659917671,659917675,659917710,659917764,659917786,659917879,659917912,659917938,659917943,659917947,659917970,659917989,659918003,659918004,659918010,659918020,659918023,659918126,659918127,659918129,659918163,659918191,659918223,659918232,659918245,659918246,659918268,659918305,659918327,659918346,659918370,659918386,659918404,659918446,659918483,659918491,659918520,659918550,659918569,659918587,659918589,659918623,659918631,659918681,659918689,659918691,659918695,659918703,659918711,659918727,659918728,659918731,659918732,659918735,659918738,659918760,659918764,659918777,659918794,659918855,659918856,659918879,659918894,659918898,659918919,659918922,659918987,659918997,659919031,659919035,659919045,659919053,659919062,659919086,659919116,659919139,659919140"
"gmt_KEGG","2-Oxocarboxylic acid metabolism","ko01210","1","0","25","304","4","2279","659916834,659916956,659918335,659918414"
"gmt_KEGG","Fatty acid metabolism","ko01212","1","0","14","304","2","2279","659917204,659918841"
"gmt_KEGG","Degradation of aromatic compounds","ko01220","1","0","6","304","1","2279","659916853"
"gmt_KEGG","Nicotinate and nicotinamide metabolism","ko00760","1","0","17","304","3","2279","659918637,659918653,659919057"
"gmt_KEGG","Biosynthesis of amino acids","ko01230","1","0","121","304","22","2279","659916834,659916840,659916844,659916956,659917025,659917086,659917150,659917235,659917302,659917307,659917468,659917647,659917797,659917936,659918335,659918414,659918492,659918588,659918925,659918931,659919103,659919142"
"gmt_KEGG","Vancomycin resistance","ko01502","1","0","10","304","1","2279","659917212"
"gmt_KEGG","Two-component system","ko02020","1","0","30","304","6","2279","659916915,659917053,659917756,659917936,659918307,659918701"
"gmt_KEGG","DNA replication","ko03030","1","0","20","304","1","2279","659918899"
"gmt_KEGG","Base excision repair","ko03410","1","0","14","304","1","2279","659917443"
"gmt_KEGG","Nucleotide excision repair","ko03420","1","0","11","304","1","2279","659918921"
"gmt_KEGG","Aminoacyl-tRNA biosynthesis","ko00970","1","0","28","304","5","2279","659917195,659917211,659917219,659917362,659918179"
