"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"gmt_COG","Energy production and conversion","C","0.000713010292931008","3.146904200679868","131","302","33","2307","659916830,659916838,659916854,659916884,659916886,659916898,659916957,659917083,659917105,659917179,659917198,659917253,659917352,659917375,659917407,659917480,659917494,659917500,659917512,659917513,659917752,659917767,659918049,659918130,659918235,659918403,659918721,659918866,659918869,659918897,659918954,659919022,659919120"
"gmt_COG","Replication, recombination and repair","L","0.0709689779651961","1.148931449065487","149","302","30","2307","659916805,659917295,659917311,659917339,659917341,659917355,659917358,659917359,659917579,659917580,659917663,659917669,659917802,659918144,659918195,659918210,659918231,659918319,659918501,659918677,659918736,659918854,659918901,659918920,659918943,659918970,659918996,659919108,659919129,659919163"
"gmt_COG","Lipid transport and metabolism","I","0.630377277033041","0.20039945008230645","65","302","13","2307","659916823,659917455,659917501,659917516,659917635,659917908,659917990,659918075,659918600,659918608,659918793,659918865,659919064"
"gmt_COG","Cell cycle control, cell division, chromosome partitioning","D","0.8582478393741185","0.06638728123058851","31","302","7","2307","659916858,659916874,659917890,659917891,659917935,659918072,659918502"
"gmt_COG","Carbohydrate transport and metabolism","G","0.9850106539463231","0.006559072116524479","164","302","27","2307","659916785,659916997,659917019,659917113,659917125,659917134,659917149,659917223,659917232,659917233,659917247,659917293,659917310,659917317,659917324,659917347,659917388,659917715,659917835,659917853,659917884,659917887,659917959,659918229,659918984,659918986,659919065"
"gmt_COG","Unknown","?","1","0","431","302","17","2307","659917001,659917014,659917098,659917111,659917227,659917488,659917508,659917646,659917705,659917774,659917809,659917969,659918030,659918042,659918329,659918337,659918420"
"gmt_COG","Signal transduction mechanisms","T","1","0","63","302","9","2307","659916784,659917434,659917592,659917593,659917815,659918473,659918697,659918789,659919125"
"gmt_COG","Function unknown (or not predicted)","S","1","0","321","302","31","2307","659917225,659917255,659917401,659917487,659917775,659917808,659917877,659917889,659917919,659917971,659918025,659918039,659918044,659918197,659918227,659918248,659918257,659918273,659918488,659918690,659918709,659918752,659918819,659918826,659918930,659918953,659918965,659919040,659919098,659919128,659919164"
"gmt_COG","Secondary metabolites biosynthesis, transport, and catabolism","Q","1","0","42","302","7","2307","659916823,659917135,659917256,659917600,659917635,659917982,659917990"
"gmt_COG","Inorganic ion transport and metabolism","P","1","0","136","302","6","2307","659917019,659917040,659917242,659917305,659917994,659918093"
"gmt_COG","Post-translational modification, protein turnover, and chaperones","O","1","0","79","302","10","2307","659916978,659917024,659917164,659917425,659917706,659917746,659918157,659918480,659918796,659919018"
"gmt_COG","Transcription","K","1","0","155","302","24","2307","659917381,659917470,659917528,659917581,659917643,659917668,659917713,659917766,659917868,659917875,659918043,659918097,659918125,659918180,659918473,659918508,659918696,659918697,659918739,659918778,659918858,659918983,659918999,659919020"
"gmt_COG","Intracellular trafficking, secretion, and vesicular transport","U","1","0","37","302","3","2307","659916782,659917063,659917567"
"gmt_COG","Translation, ribosomal structure and biogenesis","J","1","0","152","302","22","2307","659916787,659917271,659917335,659917467,659917524,659917531,659918060,659918116,659918117,659918119,659918140,659918141,659918181,659918192,659918250,659918266,659918467,659918659,659918696,659918842,659918847,659919123"
"gmt_COG","Coenzyme transport and metabolism","H","1","0","110","302","19","2307","659916830,659917256,659917490,659917759,659917788,659917801,659917807,659917967,659918076,659918100,659918120,659918131,659918193,659918636,659918776,659918871,659918909,659918910,659918917"
"gmt_COG","Nucleotide transport and metabolism","F","1","0","64","302","10","2307","659917350,659917373,659917525,659917655,659918021,659918171,659918209,659918318,659918556,659918586"
"gmt_COG","Amino acid transport and metabolism","E","1","0","201","302","30","2307","659916852,659916946,659916962,659916987,659917019,659917040,659917154,659917248,659917291,659917315,659917316,659917367,659917450,659917482,659917520,659917525,659917626,659917759,659917788,659918161,659918175,659918304,659918434,659918437,659918687,659918724,659918729,659918789,659918876,659919111"
"gmt_COG","Cell wall/membrane/envelope biogenesis","M","1","0","92","302","16","2307","659917288,659917439,659917595,659917925,659917931,659918054,659918063,659918162,659918229,659918644,659918726,659918749,659918756,659918834,659918835,659918923"
"gmt_COG","Defense mechanisms","V","1","0","41","302","4","2307","659917213,659917522,659917957,659918750"
