"accession","X20181107_18.053_16_1_track16.x","X20181107_18.053_17_1_track17.x","X20181107_18.053_18_1_track18.x","X20181107_18.053_7_1_track7.x","X20181107_18.053_8_1_track8.x","X20181107_18.053_9_1_track9.x","protein.x","pval_milieu.x","padj_milieu.x","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_16_1_track16.y","X20181107_18.053_17_1_track17.y","X20181107_18.053_18_1_track18.y","X20181107_18.053_7_1_track7.y","X20181107_18.053_8_1_track8.y","X20181107_18.053_9_1_track9.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659916762|emb|CDP49845.1|",8.65331691112577,8.44033672965987,8.37158325762407,8.26779277774778,8.36165105916059,8.37519688665932,"c181.a1.a1",0.167877148206129,0.345279240991328,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",0.678931186691218,14,16,15,16,15,16,"c181.a1.a1","OK",0.834820916923601,0.91028495461161,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",1.04444444444444
"gi|659916763|emb|CDP49846.1|",8.01984010006483,8.15376285940595,7.69876271708067,7.93980048920695,7.80014451992579,8.12514610743206,"c344.a1.a1",0.988950034505944,0.994091889104762,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",0.954352886031407,7,8,6,8,8,8,"c344.a1.a1","OK",0.654601078673554,0.885546786336421,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",1.14285714285714
"gi|659916781|emb|CDP49832.1|",6.16706807283037,6.4883428711412,6.42591209590861,6.42715087516222,7.16810534050936,6.47253392125991,"c655.a1.a1",0.273331266938607,0.453211519048173,"gi|659916781|emb|CDP49832.1| Hypothetical membrane protein [Propionibacterium freudenreichii subsp. freudenreichii]",2.82355216913473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916782|emb|CDP49833.1|",6.51849122191032,6.84233737186028,7.07995347161857,6.25265662025987,6.8977377495295,4.26693373854652,"c672.a1.a1",0.280423307822541,0.458854480211544,"gi|659916782|emb|CDP49833.1| Methylase [Propionibacterium freudenreichii subsp. freudenreichii]",0.435865179027757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916784|emb|CDP49835.1|",7.4995889180788,7.45860775399357,7.31014259543571,7.98646722623121,8.0744773461782,8.17053286667078,"b99.a1.a1",0.00112288024541024,0.014576704738301,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",4.50358380200856,12,15,15,22,21,21,"b99.a1.a1","OK",0.0319832047982996,0.153043599819963,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.52380952380952
"gi|659916785|emb|CDP49836.1|",6.8223935278637,6.64459576794176,7.29055369536003,7.02717727816453,6.84268929643854,6.87062504788307,"c415.a1.a1",0.978797612972517,0.987613058315151,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",0.818579968856137,2,5,5,7,4,3,"c415.a1.a1","OK",0.694743411831767,0.901920258857833,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.16666666666667
"gi|659916787|emb|CDP49838.1|",8.02773096433232,7.80871399624028,7.82769948269369,7.36248668564606,7.14283130967269,7.5245645730064,"c116.a1.a1",0.0141386185872215,0.062243801716673,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",0.295514933300894,9,8,7,20,16,19,"c116.a1.a1","OK",0.000407447211867877,0.00477177847306594,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",2.29166666666667
"gi|659916788|emb|CDP49839.1|",7.21777480382334,7.28202322986264,7.83845084082436,8.38925588073629,8.75405459161672,7.83376452799827,"b85.a1.a1",0.0571563828292654,0.164928865875492,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",8.42195013167863,6,5,8,25,17,12,"b85.a1.a1","OK",2.88615080658713e-05,0.000642723583466903,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",2.84210526315789
"gi|659916805|emb|CDP49813.1|",7.12920106462261,7.28967589218018,7.31030117262791,6.94488185722884,7.01572142751901,6.96504716720453,"c632.a1.a1",0.0117715702781322,0.0547001587117197,"gi|659916805|emb|CDP49813.1| Major facilitator super family MSF1 [Propionibacterium freudenreichii subsp. freudenreichii]",0.53209612658948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916818|emb|CDP49799.1|",7.01276003460085,7.435046966849,7.59297041044728,7.19841625943647,7.47592455807083,7.26287531185728,"c449.a1.a1",0.866344308960317,0.930517961475896,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",0.834770139397268,4,6,5,6,7,6,"c449.a1.a1","OK",0.492215374482299,0.8096383574581,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",1.26666666666667
